date,bank,product_name,rate_effective,rate_nominal,monthly,total_cost,first_year_cost,establishment_fee
2024-08-13,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-13,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-13,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-13,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-13,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-13,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-13,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-13,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-08-13,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-08-14,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-08-14,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-14,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-14,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-14,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-14,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-14,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-14,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-14,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-08-14,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-08-15,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-08-15,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-15,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-15,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-15,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-15,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-15,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-15,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-15,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-08-15,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-08-16,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-08-16,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-16,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-16,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-16,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-16,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-16,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-16,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-16,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-08-16,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-08-17,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-08-17,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-17,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-17,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-17,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-17,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-17,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-17,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-17,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-08-17,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-08-18,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-08-18,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-18,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-18,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-18,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-18,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-18,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-18,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-18,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-08-18,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-08-19,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-08-19,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-19,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-19,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-19,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-19,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-19,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-19,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-19,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-08-19,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-08-20,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-08-20,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-20,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-20,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-20,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-20,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-20,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-20,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-20,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
